"時点","地域コード","地域","大学・大学院生【人】","注記"
"1975年","14000","神奈川県","49549",""
"1976年","14000","神奈川県","52355",""
"1977年","14000","神奈川県","95509",""
"1978年","14000","神奈川県","99223",""
"1979年","14000","神奈川県","98579",""
"1980年","14000","神奈川県","98646",""
"1981年","14000","神奈川県","98776",""
"1982年","14000","神奈川県","94907",""
"1983年","14000","神奈川県","102297",""
"1984年","14000","神奈川県","127365",""
"1985年","14000","神奈川県","127029",""
"1986年","14000","神奈川県","134228",""
"1987年","14000","神奈川県","139093",""
"1988年","14000","神奈川県","142430",""
"1989年","14000","神奈川県","146468",""
"1990年","14000","神奈川県","152445",""
"1991年","14000","神奈川県","156859",""
"1992年","14000","神奈川県","167608",""
"1993年","14000","神奈川県","175079",""
"1994年","14000","神奈川県","179817",""
"1995年","14000","神奈川県","183556",""
"1996年","14000","神奈川県","185253",""
"1997年","14000","神奈川県","187092",""
"1998年","14000","神奈川県","189030",""
"1999年","14000","神奈川県","190459",""
"2000年","14000","神奈川県","191756",""
"2001年","14000","神奈川県","194243",""
"2002年","14000","神奈川県","197211",""
"2003年","14000","神奈川県","200385",""
"2004年","14000","神奈川県","200381",""
"2005年","14000","神奈川県","204912",""
"2006年","14000","神奈川県","202597",""
"2007年","14000","神奈川県","199052",""
"2008年","14000","神奈川県","200314",""
"2009年","14000","神奈川県","201846",""
"2010年","14000","神奈川県","205956",""
"2011年","14000","神奈川県","206703",""
"2012年","14000","神奈川県","203134",""
"2013年","14000","神奈川県","194923",""
"2014年","14000","神奈川県","193693",""
"2015年","14000","神奈川県","194468",""
"2016年","14000","神奈川県","193878",""
"2017年","14000","神奈川県","193485",""
"2018年","14000","神奈川県","193560",""
"2019年","14000","神奈川県","190675",""
"2020年","14000","神奈川県","187328",""
"2021年","14000","神奈川県","183943",""
"2022年","14000","神奈川県","186246",""
"2023年","14000","神奈川県","188900",""
"2024年","14000","神奈川県","189489",""
"2025年","14000","神奈川県","191503","速報"
